University Name,University ID,Database Name,Vendor Name,Subject Area,Product Description,Source URL
University of Cambridge,U0005,Abbreviationes online,,,Abbreviationes is a database of medieval Latin abbreviations and is a tool for deciphering and transcribing medieval Latin manuscripts.,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,"ABI/INFORM Collection (including ABI/Inform Dateline, Global, and Trade & Industry)",,,"ABI/INFORM Complete is a leading business database comprising journals, newspapers, conference papers, dissertations and theses and many other sources",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Acervo do Centro de Pesquisa e Documentação de História Contemporânea do Brasil,,,"Documents pertaining to personal archives, oral histories, interviews and entries from the Brazilian Historical and Biogaphical Dictionary.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,ACLS Humanities ebooks,,,"Over 5,400 ebooks in the humanities and related social sciences. Titles have been recommended by the American Council of Learned Societies.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,ACM Digital Library,,,"This collection of full-text articles and bibliographic records covers the fields of computing and information technology. The full-text database includes the complete collection of ACM's publications, including journals, conference proceedings, magazines, newsletters, and multimedia titles",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,ACNP : Catalogo Italiano dei Periodici,,,Bibliographic descriptions of periodicals held by Italian libraries covering all subject areas,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,ACRAH Bibliographies,,,These bibliographies are an English-language resource for people investigating issues of race and ethnicity in art and visual culture.,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,ACS Guide to Scholarly Communication,,,"A guide to scholarly communication for students, researchers, educators, and librarians. The ACS (American Chemical Society) Guide to Scholarly Communication includes updated material from previous editions of The ACS Style Guide with additional new chapters on topics such as preprints, Open Access, machine-readable data, and more.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,ACS Journals Search,,,"ACS Publications publishes nearly 50 journals for the world's largest and most influential scientific society, providing the worldwide scientific community with research from the most-cited, peer-reviewed publications in the chemical and related sciences.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Acta Sanctorum,,,,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Actes royaux français;1256-1794 (French Royal Acts;1256-1794),,,Archives Unbound,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Aden: Records of the U.S. Department of State;1880-1906,,,Archives Unbound,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Aerial Digimap,,,Provides access to some of the highest quality aerial photography available for Great Britain.,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Afghanistan and the U.S.;1945-1963: Records of the U.S. State Department Central Classified Files,,,Archives Unbound,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Afghanistan in 1919: The Third Anglo-Afghan War,,,Archives Unbound,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,AFI (American Film Institute) Catalog,,,,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Africa Bibliography,,,"Includes monographs, chapters in edited volumes, journal articles, and pamphlets, covering all regions of Africa, including North Africa and listing works published in English as well as Portuguese, French, Italian, German, Swahili, Spanish and Afrikaans.  Subject coverage in the social and environmental sciences, humanities and arts, and some items from the medical, biological and natural sciences",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Africa Commons : HIstory and Culture,,,,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Africa confidential,,,"One of the longest-established specialist publications on Africa, with a considerable reputation for being first with in-depth news and analysis on significant political, economic and security developments across the continent.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Africa Yearbook online,,,,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,African America;Communists;and the National Negro Congress;1933-1947,,,Archives Unbound,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,African American Music Reference,,,"The database offers the first comprehensive coverage of blues, jazz, spirituals, civil rights songs, slave songs, minstrelsy, rhythm and blues, gospel, and other forms of black American musical expression up to 1970.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,African American Poetry,,,"The early history of African American poetry, from the first recorded poem by an African American (Lucy Terry Prince's 'Bars Fight', c.1746) to the major poets of the nineteenth century, including Paul Laurence Dunbar and Frances Ellen Watkins Harper.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,African Books Collective,,,"Access subscribed content by clicking ""Guest Access"" in the top right corner of the screen. (Note: the ""Guest Access"" link may be obscured by a cookies notification.) Then click ""All accessible titles"" from the vertical menu bar to view available titles.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,"African Diaspora, 1860-Present",,,,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,African Education Research Database,,,"The AERD is a curated collection of research undertaken in the past decade by scholars based in sub-Saharan Africa. The database includes social science research with implications for educational policy and practice, understood in the context of the global priorities and targets expressed in Sustainable Development Goal 4 ‘ensuring inclusive and quality education for all’, and the African Union’s Agenda 2063 and Continental Education Strategy for Africa.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,African Music Library,,,Open access database aimed at providing the global music industry with the most accurate and comprehensive understanding of African music.,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,"African Newspapers Series 1, 1800-1922",,,,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,"African Newspapers Series 2, 1835-1925",,,,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,African Newspapers: The British Library Collection,,,,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,African Studies Companion Online,,,,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,African Writers Series,,,"For over 40 years, Heinemann's African Writers Series published the key texts of modern African literature. It has a unique importance in the history of postcolonial writing. This online edition includes over 250 volumes of fiction, poetry, drama and non-fictional prose, including works by Chinua Achebe, Ama Ata Aidoo, Steve Biko, Buchi Emecheta, Nadine Gordimer, Bessie Head, Doris Lessing, Nelson Mandela, Dambudzo Marechera, Christopher Okigbo, Okot p'Bitek and Tayeb Salih.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,AfricArXiv,,,A free preprint service for African scientists,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,agCensus online,,,"Offers access to a time-series database of grid square based data derived from the regular Agricultural Censuses of England, Scotland and Wales.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,AIAA American Institute of Aeronautics & Astronautics current & archive papers & SciTech Forum papers,,,,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,AIP Scitation,,,Scitation is the online home of leading journals and conference proceedings from AIP Publishing and AIP Member Societies,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Airiti Books (iRead eBooks),,,Individually purchased Chinese ebooks hosted on the iRead ebooks platform.,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Al Manhal eLibrary,,,"Access to selected, individual Arabic-language titles only.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Al-Ahram,,,,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,al-Jumhūrīyah (الجمهورية),,,,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Al-Mandumah,,,"Arabic academic journals, conferences and dissertations",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Albania: Records of the U.S. Department of State;1945-1963,,,Archives Unbound,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Alexander III and the Policy of 'Russification;' 1883-1886,,,Archives Unbound,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Allied Propaganda in World War II and the British Political Warfare Executive,,,Archives Unbound,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Altmetric Explorer,,,"Each week Altmetric captures hundreds of thousands of tweets, blog posts, news stories and other content that mention scholarly articles. The Altmetric Explorer lets you monitor, search and measure conversations about your publications and those of your competitors. Use the Explorer to deliver insights, track mentions and measure levels of attention over time.  Click on ""Explorer Login"" top right and create an account by keying your email and create a password in the boxes provided.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Amalivre ebooks,,,"Selected French title ebooks in the arts, humanities and social sciences.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Ambassador Graham Martin and the Saigon Embassy's Back Channel Communication Files;1963-1975,,,Archives Unbound,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,AmeliCA,,,"In AmeliCA’s Book and Journals Portal you can access scholarly production of scientific journals that promote a non-profit publishing model to preserve the scholarly and open nature of scientific communication. It is led by UNESCO, CLACSO, Redalyc and several Latin American universities. It offers 79 journals online, 2848 aggregated books, 1136 journals in AURA, 84489 full-text articles in books and journals portals, in Spanish, Portuguese and English.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Amerasia Affair;China;and Postwar Anti-Communist Fervor,,,Archives Unbound,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,America in Protest: Records of Anti-Vietnam War Organizations;The Vietnam Veterans Against the War,,,Archives Unbound,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,América Latina - Portal Europeo,,,Information about European research on humanities and social sciences in Latin America,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,América Lee: El portal de revistas latinoamericanas del CENDI,,,"Facsimile editions of Latin American magazines from the end of the 19th C. through the 20th C. , including the series Prensa Obrera del Cono Sur de América Latina.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,American Art-Union;1839-1851: The Rise of American Art Literacy,,,Archives Unbound,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,American Association for Cancer Research,,,"Cancer Research is the most frequently cited cancer journal in the world. The journal publishes original studies, reviews, and opinion pieces offering significance and broad impact to a diverse audience spanning basic, preclinical, clinical, prevention, and epidemiologic research.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,American Association on Intellectual and Developmental Disabilities,,,The oldest and largest interdisciplinary organization of professionals and citizens concerned about intellectual and developmental disabilities.,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,American Chemical Society journals,,,,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,American Drama,,,"American Drama covers three centuries of rare and modern dramatic works that together have formed the internationally recognized voice that is American theater.  More than 1,500 plays are available, from over 500 playwrights.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,American Fur Company: America's First Business Monopoly,,,Archives Unbound,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,American History Collection (University of Virginia Press (Rotunda)),,,"The “American History Collection” includes documentary editions spanning three centuries, from the earliest surviving writings of George Washington through the presidential correspondence of Woodrow Wilson: more than 20 publications with content from over 550 letterpress and born-digital volumes, for a total of nearly 300,000 documents, diary entries, and editorial essays, all cross-searchable.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,American Indian Correspondence: Presbyterian Historical Society Collection of Missionaries' Letters;1833-1893,,,Archives Unbound,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,American Indian Movement and Native American Radicalism,,,Archives Unbound,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,American Mathematical Society Publications,,,"The AMS, founded in 1888 to further mathematical research and scholarship, has maintained an active publishing program for over 100 years and has established a reputation as one of the top publishers of advanced mathematics in the world.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,American Medical Association Journals,,,JAMA : the journal of the American Medical Association; JAMA neurology; JAMA pediatrics; JAMA psychiatry.,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,American Meteorological Society,,,Journals of the American Meteorological Society,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,American Museum of Natural History Research Library,,,"AMNH Library Digital Repository is an archive maintained by the Research Library for AMNH Scientific Publications, AMNH scholarly output and other original and published materials digitized by the Library. All information in the repository is freely accessible to scholars around the world to support their research.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,American National Biography Online,,,"The American National Biography, a standard source for U.S. historical biography, includes over 17,400 biographies. The ANB Online is fully searchable and includes illustrations, cross-references, and links to external web sites, not available in the printed version (Oxford University Press, 24 vols. 1999). Full text, ""Occupations & Realms of Renown"", birth/death date, place of birth, and contributor searches are available. ANB Online is considered a successor to the Dictionary of American Biography, or DAB (20 volumes + 10 supplements; 1926-1995). The online version also includes many new articles on persons omitted from the printed version or deceased since 1995.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,American Nuclear Society,,,"The ANS serves the nuclear community by creating a forum for sharing information and advancements in technology, and by engaging the public and policymakers through communication outreach.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,American Periodicals,,,"Searchable, full-text database, with digitized page images, of American magazines and journals that originated between 1741, when Andrew Bradford's American Magazine and Benjamin Franklin's General Magazine were launched, and 1900. The bulk of the collection dates from the 19th-century; periodicals that began publication before 1900 and continued into the 20th century are included through 1940. Based on the American Periodical Series (APS I, II, and III) microfilm collections.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,American Physical Society Journals (Scitation),,,"The American Physical Society (APS) is a non-profit membership organization working to advance and diffuse the knowledge of physics through its outstanding research journals, scientific meetings, and education, outreach, advocacy, and international activities. APS represents over 51,000 members, including physicists in academia, national laboratories, and industry in the United States and throughout the world.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,American Physiological Society,,,"The American Physiological Society  (APS) is a nonprofit devoted to fostering education, scientific research, and dissemination of information in the physiological sciences.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,American Phytopathological Society ebooks: backlist collection,,,Access to 86 titles published between 1937-2024.,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,American Phytopathological Society Journals,,,"The American Phytopathological Society (APS) is a nonprofit professional, scientific organization dedicated to the study and control of plant diseases.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,American Poetry,,,"American Poetry includes the complete works (over 40,000 poems) of all major American poets from 1600-1900, and a few poets active after 1900. Any accompanying text written by the poet and forming an integral part of the poem, such as dedications, notes, arguments, and epigraphs, is also generally included. Volume-specific front and back matter, such as advertisements, prefaces, introductions, editorial apparatus, dedicatory epistles, biographies, glossaries, and indexes has usually been excluded. In general, texts contemporary with their authors were preferred, and, when available, collected editions. For those poets whose established canon could not be covered by contemporary printings, reliable later editions have been included.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,"American proxy wars : Korea and Vietnam : global perspectives, 1946-1975",,,,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,"American race relations : global perspectives, 1941-1996",,,,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,"American Sermons, Series 1 1652-1820 and Series 2, 1796-1819",,,,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,American Society of Civil Engineers Journals (ASCE),,,Subscription access to the journals of the American Society of Civil Engineers Journals,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Ami du peuple,,,Searchable full text of Marat's French revolutionary newspaper,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,ANIDA - Atlas Nacional Interactivo de Argentina,,,"Maps and geo-referenced content relating to environmental, social, demographic, political and economic data. Published by the Instituto Geográfico Nacional (Argentina).",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Année Philologique,,,"An international annual index to research on all aspects of greco-roman antiquity, from prehistory to 800 AD. First published in 1924, it indexes books, journal articles, dissertations, and conference proceedings covering a broad range of classical subjects, including language, literature, archaeology, history, law, philosophy, science, and technology. Users may search the online database by modern author, full text, ancient authors and texts, subjects and disciplines, title keywords, publisher, collection, and name of periodical. Searches may be combined, limited by year of publication or by a range of years, and by modern language (for French, English, German, Italian and Spanish). The database allows researchers to email and save marked records.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Annual Bibliography of English Language and Literature,,,"Aims to list annually all scholarly articles, books and reviews concerning English language and literature and related topics published anywhere in the world, and in any language. (Education and pedagogical subjects, and the medical application of linguistics, are excluded.)  The list of subjects covered includes: Drama; Poetry; Fiction; Biography; Literary Theory; Film; Bibliography; Traditional Culture; Onomastics; Lexicography; Dialectology.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Annual Reviews,,,,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Anthropological Fieldwork Online,,,"Alexander Street has partnered with archives and holding institutions around the world to bring the fieldwork underpinning the great ethnographies of the early 20th century into the digital world, available in the cross-searchable collection Anthropological Fieldwork Online.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Anthropological Index Online,,,Comprehensive index published by the Royal Anthropological Institute,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Anthropology of this Century (AOTC),,,"AOTC publishes reviews of recent works in anthropology and related disciplines, as well as occasional feature articles. Open access.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Anthropology Online,,,"Anthropology Online brings together a wide range of written ethnographies, seminal texts and contemporary studies, many of which are the final published works resulting from the research digitized in Anthropological Fieldwork Online",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Anthropology Plus,,,"Comprehensive, focused index covering publications in anthropology and related disciplines issued from the mid-19th century to the present. Social, cultural, physical, biological, and linguistic anthropology and archaeology (particularly prehistoric archaeology) are indexed comprehensively. Closely related fields such as folklore, material culture, human evolution, primatology, zooarchaeology, museum studies, and visual studies are all well represented.   Unites two premier indexes produced in two hemispheres – Anthropological Literature (AL) at Harvard University and Anthropological Index Online (AIO) at the British Museum -- both indexing many of the core anthropology publications while individually covering many lesser-known and local publications, yielding in-depth coverage of a broad array of the world’s scholarship in anthropology.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,AnthroSource,,,Please note we have full-text access to only some of the journals listed on this platform.,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,"Antigua, slavery and emancipation in the records of a sugar plantation 1689-1907",,,,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,apabi Digital Library,,,Multi-disciplinary; all works in Chinese language,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,"Apartheid : global perspectives, 1946-1996",,,,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,"Apartheid Through the Eyes of South African Political Parties, 1948-1994",,,,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Apollo,,,"DSpace@Cambridge is the University of Cambridge’s institutional repository, preserving and providing access to content created by members of the University. It is delivered and managed by the University Library.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Applied Math and Science Education Repository,,,"Repository funded by the National Science Foundation that covers all levels of science, technology, engineering, and mathematics education",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Applied Social Sciences Index and Abstracts (ASSIA),,,"Designed to meet the information needs of the caring professions, and spans the literature of health, social services, psychology, sociology, economics, politics, race relations and education. The database abstracts and indexes over 500 journals, from more than 16 countries.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Arabic manuscripts online,,,"These manuscripts are part of the Wellcome Library's Asian Collection, which comprises some 12,000 manuscripts and 4,000 printed books in 43 different languages. The Islamic holdings include Arabic and Persian manuscripts and printed books, and a small collection of Ottoman manuscripts and Turkish books. The core of these collections relates to the great heritage of classical medicine, preserved, enlarged and commentated on throughout the Islamic world, stretching from Southern Spain to South and South-east Asia.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,ARCA (Arxiu de Revistes Catalanes Antigues),,,Archive of rare Catalan periodicals,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Archaeological Services University of Durham,,,Library of Unpublished Fieldwork Reports,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Archaeology Data Service,,,"Supports research, learning and teaching with freely available, high quality and dependable digital resources by preserving digital data in the long term, and by promoting and disseminating a broad range of data in archaeology.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Archaeopress,,,Access to all titles on the Archaeopress Archaeology tab as well as more recent issues of the Proceedings of the Seminar for Arabian Studies.,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,ARCHI Archivo Digital de Arte Peruano,,,"ARCHI. Archivo Digital de Arte Peruano is an online platform dedicated to documenting and disseminating the cultural patrimony of Peru. The archive, created by an initiative of the Museo de Arte de Lima – MALI and the Daniel Giannoni Photographic Archive in accord with the Ministry of Culture of Peru, includes images of diverse expressions of art, material culture and architecture of Peru from various historical moments from the prehispanic era to the present. The low resolution images on display can be viewed and freely used by students, teachers, researchers, and the general public for educational and research purposes. The commercial use of the archive’s images requires authorization.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Architecture et Patrimoine,,,"Searchable database for French architecture and heritage, including furniture and images",https://libguides.cam.ac.uk/az/databases
